Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,Inception,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,YTD,Rank,7 days,Rank
Aditya Birla Sun Life Nifty Bank ETF,2591.3,3.36,6,4.21,6,9.13,6,12.09,5,11.84,5,20.11,8,19.61,8,13.99,-,18.38,4,26.53,3,15.77,3,-,-,-,-,-,-,-,-,-,-,10.48,5,0.47,4
DSP Nifty Bank ETF,201.73,3.37,2,4.21,3,9.13,4,12.09,4,11.86,3,20.15,3,19.65,3,16.19,-,18.39,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.5,3,0.47,2
HDFC NIFTY Bank ETF,2364.43,3.36,8,4.2,8,9.12,8,12.09,7,11.84,6,20.12,5,19.62,5,25.69,-,18.33,8,26.46,6,15.72,6,-,-,-,-,-,-,-,-,-,-,10.48,6,0.46,8
ICICI Prudential Nifty Bank ETF,3270.32,3.36,4,4.21,5,9.13,3,12.1,3,11.86,2,20.15,2,19.65,2,11.93,-,18.39,3,26.55,2,15.79,2,-,-,-,-,-,-,-,-,-,-,10.5,2,0.46,7
Kotak Nifty Bank ETF,5707.7,3.37,1,4.21,2,9.14,2,12.1,2,11.85,4,20.13,4,19.63,4,11.96,-,18.34,7,26.43,7,15.7,7,11.13,3,12.59,3,-,-,-,-,-,-,10.49,4,0.48,1
Nippon India ETF Nifty Bank BeES,6505.45,3.36,7,4.21,7,9.12,7,12.08,8,11.83,8,20.12,7,19.62,6,17.01,-,18.36,5,26.51,4,15.75,4,11.18,2,12.64,2,13.34,1,14.82,1,14.28,1,10.47,8,0.46,6
SBI Nifty Bank ETF,4284.46,3.36,5,4.21,4,9.13,5,12.09,6,11.84,7,20.12,6,19.62,7,12.51,-,18.35,6,26.51,5,15.74,5,11.2,1,12.65,1,-,-,-,-,-,-,10.48,7,0.47,5
UTI Nifty Bank ETF,3277.67,3.36,3,4.22,1,9.15,1,12.11,1,11.88,1,20.18,1,19.68,1,24.34,-,18.42,1,26.64,1,15.85,1,-,-,-,-,-,-,-,-,-,-,10.52,1,0.47,3
