Returns as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
Equity Schemes,,,,,,,,,
Scheme Name,30 Days,90 Days,180 Days,1 Year,2 Year,3 Year,4 Year,5 Year,10 Year
Aditya Birla Sun Life Nifty Next 50 ETF,2.85,16.46,35.7,66.24,40.78,24.33,29.76,22.1,-
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan,2.76,15.99,34.78,64.43,39.31,-,-,-,-
Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Regular Plan,10.63,17.77,21.18,71.94,48.64,19.67,-,-,-
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,4.16,2.94,12.43,44.04,29.03,12.63,21.56,-,-
Aditya Birla Sun Life PSU Equity Fund - Regular Plan,-4.01,8.13,28.29,91,63.61,40.09,42.36,-,-
Aditya Birla Sun Life Pure Value Fund - Regular Plan,6.53,9.09,17.92,51.93,41.52,23.11,33.57,19.93,13.86
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,1.68,4.48,7.11,12.86,12.21,9.89,13.45,10.11,10.34
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,1.6,4.25,6.63,11.82,11.16,8.88,12.43,9.14,9.3
Aditya Birla Sun Life Retirement Fund - The 30s Plan - Regular Plan,3.75,12.05,17.13,33.15,26.11,14.07,18.26,13.45,-
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Regular Plan,3.17,9.25,13.14,26.9,21.49,11.8,15.11,11.78,-
Aditya Birla Sun Life Silver ETF,-0.73,14.96,22.51,27.81,24.42,-,-,-,-
Aditya Birla Sun Life Silver ETF FoF - Regular Plan,-0.72,14.51,21.32,26.43,21.89,-,-,-,-
Aditya Birla Sun Life Small Cap Fund - Regular Plan,10.18,17.52,21.7,48.52,38.07,20.12,37.18,21.44,16.07
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,6.67,12.14,19.66,42.97,30.53,18.48,-,-,-
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,5.89,15.91,33.92,-,-,-,-,-,-
S&P BSE Sensex Index,4.6,8.27,12.09,22.67,22.85,15.05,22.05,14.94,11.96
S&P BSE 200 Index,4.09,9.96,17.14,35.05,28.28,18.06,25.86,17.66,13.47
,,,,,,,,,
Debt Schemes,,,,,,,,,
Scheme Name,1 Day,7 Days,14 Days,21 Days,30 Days,Inception,,,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,19.87,7.46,6.26,10.52,8.57,7.51,,,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,14.64,9.07,7.27,9.09,7.07,8.2,,,
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,16.64,9.12,7.21,21.67,15.73,8.29,,,
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,35.38,10.3,9.25,9.88,9.07,8.24,,,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,9.82,7.82,8.07,8.19,8.05,7.13,,,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2025 Index Fund - Direct Plan,12.3,9.73,8.49,8.02,7.86,5.46,,,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,11.96,8.69,8.52,8.71,8.25,5.53,,,
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,43.52,10.86,6.89,8.85,8.24,8.55,,,
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,12.64,8.14,7.69,8.39,8.11,7.4,,,
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,11.26,7.31,6.91,7.72,7.64,7.56,,,
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,23.39,6.27,8.28,9.09,7.06,8.84,,,
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,5.92,6.15,6.15,6.17,6.12,6.33,,,
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,27.26,7.34,5.2,11.19,5.89,7.63,,,
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,9.05,9.66,8.51,8.72,8.03,7.97,,,
Aditya Birla Sun Life Government Securities Fund - Direct Plan,28.12,5.07,3.49,11.97,7.35,8.92,,,
Aditya Birla Sun Life Income Fund - Direct Plan,22.77,7.14,6.18,11,6.84,7.91,,,
Aditya Birla Sun Life Liquid Fund - Direct Plan,7.68,8.79,7.64,7.43,7.37,6.91,,,
Aditya Birla Sun Life Long Duration Fund - Direct Plan,31.88,6.35,6.49,14.47,8.43,9.65,,,
Aditya Birla Sun Life Low Duration Fund - Direct Plan,10.37,9.71,8.47,8.49,8.01,7.99,,,
Aditya Birla Sun Life Medium Term Plan - Direct Plan,24.85,8.75,7.09,17.97,12.39,9.42,,,
Aditya Birla Sun Life Money Manager Fund - Direct Plan,10.96,10.75,8.75,8.28,7.95,7.41,,,
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,14.01,5.92,8.92,9.53,8.85,5.79,,,
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,13.05,8.24,8.41,8.71,8.36,5.07,,,
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,18.98,9.34,8.69,8.49,8.55,7.46,,,
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,15.12,7.71,9.56,10.15,9.28,8.33,,,
Aditya Birla Sun Life Overnight Fund - Direct Plan,6.33,6.55,6.55,6.57,6.53,4.97,,,
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,73.36,25.63,21.9,21.28,16.58,7.46,,,
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,9.9,6.61,6.18,7.08,6.29,5.48,,,
Aditya Birla Sun Life Savings Fund - Direct Plan,9.69,10.09,8.44,8.2,7.72,7.73,,,
Aditya Birla Sun Life Short Term Fund - Direct Plan,13.8,8.58,7.42,8.84,7.06,8.61,,,
Aditya Birla Sun Life Treasury Optimizer Fund - Direct Plan,13.58,9.61,7.72,8.86,7.13,8.44,,,
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,38.78,3.78,6.86,1.85,12.42,5.43,,,
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,152.99,-2.67,-5.87,-4.47,14.58,8.06,,,
,,,,,,,,,
Capital Protection Funds,,,,,,,,,
Scheme Name,1 Day,7 Days,14 Days,21 Days,30 Days,Inception,,,
,,,,,,,,,
Value Research,,,,,,,,,
,,,,,,,,,
# Return as on :02-July-2024,,,,,,,,,
