Return As of 03-Jul-24,Unnamed: 1
30 Days,6.67
90 Days,12.14
180 Days,19.66
1 Year,42.97
2 Year,30.53
3 Year,18.48
4 Year,-
5 Year,-
10 Year,-
Inception,25.56
,
Aditya Birla Sun Life Transportation and Logistics Fund - Regular Plan,
30 Days,5.89
90 Days,15.91
180 Days,33.92
1 Year,-
2 Year,-
3 Year,-
4 Year,-
5 Year,-
10 Year,-
Inception,45.7
,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Regular Plan,
30 Days,0.68
90 Days,1.86
180 Days,3.89
1 Year,7.2
2 Year,6.8
3 Year,5.21
4 Year,5.46
5 Year,6.38
10 Year,7.19
Inception,7.33
,
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,
30 Days,0.75
90 Days,1.82
180 Days,3.89
1 Year,7.8
2 Year,6.78
3 Year,5.62
4 Year,5.14
5 Year,5.21
10 Year,5.86
Inception,6.28
,
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,
30 Days,3.6
90 Days,9.16
180 Days,16.18
1 Year,35.01
2 Year,24.97
3 Year,16.23
4 Year,21.27
5 Year,17.46
10 Year,-
Inception,13.02
,
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,
30 Days,3.53
90 Days,8.86
180 Days,15.57
1 Year,33.53
2 Year,23.59
3 Year,15.04
4 Year,20.29
5 Year,16.55
10 Year,13.24
Inception,10.77
,
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,
30 Days,3.31
90 Days,8.08
180 Days,12.61
1 Year,23.47
2 Year,20.47
3 Year,13.65
4 Year,17.92
5 Year,14.17
10 Year,12.17
Inception,12.87
,
Aditya Birla Sun Life Balanced Advantage Fund - Regular Plan,
30 Days,3.21
90 Days,7.76
180 Days,11.96
1 Year,22.06
2 Year,19.05
3 Year,12.28
4 Year,16.51
5 Year,12.84
10 Year,11.05
Inception,9.92
,
Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan,
30 Days,5.88
90 Days,10.39
180 Days,13.25
1 Year,24.98
2 Year,30.82
3 Year,16.56
4 Year,26.8
5 Year,13.36
10 Year,15.06
Inception,17.91
,
Aditya Birla Sun Life Digital India Fund - Regular Plan,
30 Days,11.94
90 Days,6.88
180 Days,8.1
1 Year,30.38
2 Year,22.77
3 Year,13.19
4 Year,31.86
5 Year,25.92
10 Year,19.19
Inception,12.18
,
Aditya Birla Sun Life Dividend Yield Fund - Regular Plan,
30 Days,4.96
90 Days,11.03
180 Days,19.54
1 Year,51.93
2 Year,41.47
3 Year,24.51
4 Year,32.13
5 Year,23.42
10 Year,13.88
Inception,19.54
,
Aditya Birla Sun Life ELSS Tax Saver - Regular Plan,
30 Days,5.4
90 Days,12.95
180 Days,19.44
1 Year,35.21
2 Year,26
3 Year,13.48
4 Year,18.11
5 Year,13.45
10 Year,13.36
Inception,22.06
,
Aditya Birla Sun Life Equity Advantage Fund - Regular Plan,
30 Days,5.03
90 Days,13
180 Days,18
1 Year,36.95
2 Year,28.91
3 Year,14.14
4 Year,24.98
5 Year,16.78
10 Year,14.02
Inception,17.3
,
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,
30 Days,4.8
90 Days,10.44
180 Days,15.92
1 Year,29.67
2 Year,22.81
3 Year,13.97
4 Year,21.63
5 Year,13.94
10 Year,11.98
Inception,18.66
,
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,
30 Days,4.76
90 Days,10.69
180 Days,16.5
1 Year,34.81
2 Year,27.12
3 Year,17.26
4 Year,22.27
5 Year,17.31
10 Year,13.53
Inception,13.14
,
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,
30 Days,2.57
90 Days,5.83
180 Days,9.57
1 Year,19.84
2 Year,16.03
3 Year,11.19
4 Year,13.09
5 Year,11.43
10 Year,9.26
Inception,9.18
,
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,
30 Days,3.69
90 Days,8.23
180 Days,12.99
1 Year,27.22
2 Year,21.23
3 Year,14.16
4 Year,17.58
5 Year,14.37
10 Year,11.25
Inception,11.01
,
Aditya Birla Sun Life Flexi Cap Fund - Regular Plan,
30 Days,5.86
90 Days,11.24
180 Days,17.6
1 Year,36.58
2 Year,29.57
3 Year,16.85
4 Year,26.64
5 Year,18.04
10 Year,14.78
Inception,21.91
,
Aditya Birla Sun Life Focused Fund - Regular Plan,
30 Days,5.31
90 Days,10.09
180 Days,19.17
1 Year,36.04
2 Year,27.76
3 Year,17.57
4 Year,24.73
5 Year,16.93
10 Year,13.57
Inception,14.91
,
Aditya Birla Sun Life Frontline Equity Fund - Regular Plan,
30 Days,5.18
90 Days,10.74
180 Days,17.42
1 Year,32.89
2 Year,28.12
3 Year,18.26
4 Year,25.8
5 Year,17.09
10 Year,13.66
Inception,19.66
,
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan #,
30 Days,4.54
90 Days,5.28
180 Days,17.38
1 Year,24.06
2 Year,16.51
3 Year,5.94
4 Year,13.12
5 Year,14.22
10 Year,5.31
Inception,5.86
,
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan #,
30 Days,5.29
90 Days,7.37
180 Days,19.61
1 Year,30.72
2 Year,28.54
3 Year,11.4
4 Year,15.68
5 Year,10.36
10 Year,6.88
Inception,7.27
,
Aditya Birla Sun Life Gold ETF,
30 Days,0.63
90 Days,3.94
180 Days,13.97
1 Year,23.36
2 Year,16.07
3 Year,14.01
4 Year,9.76
5 Year,14.87
10 Year,8.85
Inception,8.41
,
Aditya Birla Sun Life Gold Fund - Regular Plan,
30 Days,0.25
90 Days,3.36
180 Days,13.41
1 Year,22.24
2 Year,16.81
3 Year,13.55
4 Year,9.27
5 Year,14.62
10 Year,8.46
Inception,6.39
,
Aditya Birla Sun Life India GenNext Fund - Regular Plan,
30 Days,7.24
90 Days,12.36
180 Days,15.94
1 Year,32.57
2 Year,28.19
3 Year,19.45
4 Year,26.27
5 Year,19.72
10 Year,17.48
Inception,17.37
,
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,
30 Days,1.77
90 Days,15.34
180 Days,30.43
1 Year,62.29
2 Year,53.1
3 Year,30.25
4 Year,40.2
5 Year,24.63
10 Year,15.49
Inception,13.37
,
Aditya Birla Sun Life International Equity Fund - Regular Plan,
30 Days,-0.47
90 Days,-1.53
180 Days,2.9
1 Year,4.52
2 Year,9.53
3 Year,2.3
4 Year,8.57
5 Year,8.87
10 Year,7.64
Inception,7.35
,
Aditya Birla Sun Life Mid Cap Fund - Regular Plan,
30 Days,7.23
90 Days,14.9
180 Days,20.19
1 Year,49.84
2 Year,34.66
3 Year,23.6
4 Year,33.9
5 Year,21.63
10 Year,16.15
Inception,22.02
,
Aditya Birla Sun Life MNC Fund - Regular Plan,
30 Days,7.59
90 Days,17.95
180 Days,21.19
1 Year,39.61
2 Year,26.42
3 Year,13.29
4 Year,17.36
5 Year,13.41
10 Year,13.62
Inception,17.75
,
Aditya Birla Sun Life Nifty 50 ETF,
30 Days,4.57
90 Days,8.79
180 Days,13.62
1 Year,27.17
2 Year,25.39
3 Year,16.89
4 Year,24.41
5 Year,16.58
10 Year,13.45
Inception,13.12
,
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,
30 Days,4.52
90 Days,8.67
180 Days,13.36
1 Year,26.55
2 Year,24.69
3 Year,16.21
4 Year,23.56
5 Year,15.88
10 Year,12.45
Inception,15.77
,
Aditya Birla Sun Life Pure Value Fund - Regular Plan,
30 Days,6.53
90 Days,9.09
180 Days,17.92
1 Year,51.93
2 Year,41.52
3 Year,23.11
4 Year,33.57
5 Year,19.93
10 Year,13.86
Inception,16.84
,
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,
30 Days,1.68
90 Days,4.48
180 Days,7.11
1 Year,12.86
2 Year,12.21
3 Year,9.89
4 Year,13.45
5 Year,10.11
10 Year,10.34
Inception,10.77
,
Aditya Birla Sun Life Regular Savings Fund - Regular Plan,
30 Days,1.6
90 Days,4.25
180 Days,6.63
1 Year,11.82
2 Year,11.16
3 Year,8.88
4 Year,12.43
5 Year,9.14
10 Year,9.3
Inception,9.45
,
Aditya Birla Sun Life Small Cap Fund - Regular Plan,
30 Days,10.18
90 Days,17.52
180 Days,21.7
1 Year,48.52
2 Year,38.07
3 Year,20.12
4 Year,37.18
5 Year,21.44
10 Year,16.07
Inception,13.59
,
,
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,
1 Day,19.87
7 Days,7.46
14 Days,6.26
30 Days,8.57
90 Days,7.83
180 Days,8.17
Inception,7.51
,
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,
1 Day,13.58
7 Days,9.61
14 Days,7.72
30 Days,7.13
90 Days,7.47
180 Days,7.95
Inception,8.44
,
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,
1 Day,14.64
7 Days,9.07
14 Days,7.27
30 Days,7.07
90 Days,7.88
180 Days,8.56
Inception,8.2
,
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,
1 Day,16.64
7 Days,9.12
14 Days,7.21
30 Days,15.73
90 Days,11.1
180 Days,10.05
Inception,8.29
,
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,
1 Day,35.38
7 Days,10.3
14 Days,9.25
30 Days,9.07
90 Days,8.12
180 Days,8.14
Inception,8.24
,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,
1 Day,9.82
7 Days,7.82
14 Days,8.07
30 Days,8.05
90 Days,7.44
180 Days,7.65
Inception,7.13
,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2025 Index Fund - Direct Plan,
1 Day,12.3
7 Days,9.73
14 Days,8.49
30 Days,7.86
90 Days,7.17
180 Days,7.53
Inception,5.46
,
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,
1 Day,11.96
7 Days,8.69
14 Days,8.52
30 Days,8.25
90 Days,7.68
180 Days,7.98
Inception,5.53
,
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,
1 Day,12.64
7 Days,8.14
14 Days,7.69
30 Days,8.11
90 Days,7.66
180 Days,7.32
Inception,7.4
,
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,
1 Day,43.52
7 Days,10.86
14 Days,6.89
30 Days,8.24
90 Days,8.43
180 Days,8.04
Inception,8.55
,
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,
1 Day,11.26
7 Days,7.31
14 Days,6.91
30 Days,7.64
90 Days,7.34
180 Days,7.21
Inception,7.56
,
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,
1 Day,23.39
7 Days,6.27
14 Days,8.28
30 Days,7.06
90 Days,7.94
180 Days,11.33
Inception,8.84
,
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,
1 Day,5.92
7 Days,6.15
14 Days,6.15
30 Days,6.12
90 Days,6.26
180 Days,6.4
Inception,6.33
,
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,
1 Day,27.26
7 Days,7.34
14 Days,5.2
30 Days,5.89
90 Days,9.44
180 Days,9.69
Inception,7.63
,
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,
1 Day,9.05
7 Days,9.66
14 Days,8.51
30 Days,8.03
90 Days,7.55
180 Days,8.13
Inception,7.97
,
Aditya Birla Sun Life Government Securities Fund - Direct Plan,
1 Day,28.12
7 Days,5.07
14 Days,3.49
30 Days,7.35
90 Days,10.02
180 Days,11.59
Inception,8.92
,
Aditya Birla Sun Life Income Fund - Direct Plan,
1 Day,22.77
7 Days,7.14
14 Days,6.18
30 Days,6.84
90 Days,9.05
180 Days,9.46
Inception,7.91
,
Aditya Birla Sun Life Liquid Fund - Direct Plan,
1 Day,7.68
7 Days,8.79
14 Days,7.64
30 Days,7.37
90 Days,7.27
180 Days,7.52
Inception,6.91
,
Aditya Birla Sun Life Long Duration Fund - Direct Plan,
1 Day,31.88
7 Days,6.35
14 Days,6.49
30 Days,8.43
90 Days,10.64
180 Days,13.31
Inception,9.65
,
Aditya Birla Sun Life Low Duration Fund - Direct Plan,
1 Day,10.37
7 Days,9.71
14 Days,8.47
30 Days,8.01
90 Days,7.57
180 Days,7.92
Inception,7.99
,
Aditya Birla Sun Life Medium Term Plan - Direct Plan,
1 Day,24.85
7 Days,8.75
14 Days,7.09
30 Days,12.39
90 Days,9.96
180 Days,9.61
Inception,9.42
,
Aditya Birla Sun Life Money Manager Fund - Direct Plan,
1 Day,10.96
7 Days,10.75
14 Days,8.75
30 Days,7.95
90 Days,7.52
180 Days,7.98
Inception,7.41
,
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,
1 Day,14.01
7 Days,5.92
14 Days,8.92
30 Days,8.85
90 Days,8.26
180 Days,8.28
Inception,5.79
,
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,
1 Day,13.05
7 Days,8.24
14 Days,8.41
30 Days,8.36
90 Days,7.61
180 Days,7.88
Inception,5.07
,
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,
1 Day,18.98
7 Days,9.34
14 Days,8.69
30 Days,8.55
90 Days,7.65
180 Days,7.7
Inception,7.46
,
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,
1 Day,15.12
7 Days,7.71
14 Days,9.56
30 Days,9.28
90 Days,8.32
180 Days,8.6
Inception,8.33
,
Aditya Birla Sun Life Overnight Fund - Direct Plan,
1 Day,6.33
7 Days,6.55
14 Days,6.55
30 Days,6.53
90 Days,6.57
180 Days,6.68
Inception,4.97
,
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,
1 Day,73.36
7 Days,25.63
14 Days,21.9
30 Days,16.58
90 Days,16.62
180 Days,13.7
