Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count,Ret 10 Yr,Rank/Count
Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular Plan,Hybrid: Aggressive Hybrid,Open-ended,15.92,22 ( 46 ) ,29.67,25 ( 44 ) ,22.81,31 ( 43 ) ,13.97,36 ( 43 ) ,13.94,25 ( 37 ) ,11.98,17 ( 23 ) 
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,Hybrid: Equity Savings,Open-ended,5.82,20 ( 22 ) ,11.75,20 ( 22 ) ,12.7,18 ( 22 ) ,7.87,21 ( 22 ) ,9.47,16 ( 21 ) ,-,-
Aditya Birla Sun Life Equity Savings Fund - Regular Plan,Hybrid: Equity Savings,Open-ended,5.52,19 ( 22 ) ,11.08,19 ( 22 ) ,11.75,18 ( 22 ) ,6.91,21 ( 22 ) ,8.46,16 ( 21 ) ,-,-
Aditya Birla Sun Life ESG Integration Strategy Fund - Direct Plan,Equity: Thematic-ESG,Open-ended,18.31,3 ( 10 ) ,33.48,6 ( 10 ) ,26.81,6 ( 10 ) ,15.46,6 ( 10 ) ,-,-,-,-
Aditya Birla Sun Life ESG Integration Strategy Fund - Regular Plan,Equity: Thematic-ESG,Open-ended,17.57,4 ( 10 ) ,31.85,6 ( 10 ) ,25.15,6 ( 10 ) ,13.73,9 ( 10 ) ,-,-,-,-
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,16.93,8 ( 30 ) ,35.83,6 ( 27 ) ,28.15,6 ( 22 ) ,18.23,6 ( 20 ) ,18.34,3 ( 12 ) ,14.43,1 ( 7 ) 
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,16.5,8 ( 30 ) ,34.81,4 ( 27 ) ,27.12,6 ( 22 ) ,17.26,6 ( 20 ) ,17.31,3 ( 12 ) ,13.53,1 ( 7 ) 
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,9.82,27 ( 30 ) ,20.34,22 ( 27 ) ,16.49,19 ( 22 ) ,11.67,17 ( 20 ) ,11.96,10 ( 12 ) ,9.81,6 ( 7 ) 
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,Hybrid: Multi Asset Allocation,Open-ended,9.57,27 ( 30 ) ,19.84,22 ( 27 ) ,16.03,19 ( 22 ) ,11.19,16 ( 20 ) ,11.43,10 ( 12 ) ,9.26,6 ( 7 ) 
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Direct Plan,Hybrid: Multi Asset Allocation,Open-ended,13.31,19 ( 30 ) ,27.93,15 ( 27 ) ,21.88,14 ( 22 ) ,14.83,14 ( 20 ) ,15.04,8 ( 12 ) ,11.87,3 ( 7 ) 
