Return As of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Scheme Name,Objective,Type,Ret 6 Mth,Rank/Count,Ret 1 Yr,Rank/Count,Ret 2 Yr,Rank/Count,Ret 3 Yr,Rank/Count,Ret 5 Yr,Rank/Count
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Regular Plan,Debt: Target Maturity,Open-ended,5.48,9 ( 97 ) ,7.28,39 ( 95 ) ,-,-,-,-,-,-
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,Debt: Overnight,Open-ended,3.19,33 ( 36 ) ,6.41,33 ( 33 ) ,-,-,-,-,-,-
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,Debt: Dynamic Bond,Open-ended,4.83,18 ( 25 ) ,8.04,18 ( 25 ) ,9.35,1 ( 24 ) ,7.22,2 ( 23 ) ,6.19,18 ( 21 ) 
Aditya Birla Sun Life Dynamic Bond Fund - Regular Plan,Debt: Dynamic Bond,Open-ended,4.52,17 ( 25 ) ,7.41,13 ( 25 ) ,8.71,1 ( 24 ) ,6.59,2 ( 23 ) ,5.58,17 ( 21 ) 
Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 Days) - Direct Plan,Debt: Fixed Maturity,Closed-end,4.12,23 ( 79 ) ,7.52,17 ( 78 ) ,7.63,23 ( 37 ) ,5.8,7 ( 12 ) ,-,-
Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 Days) - Regular Plan,Debt: Fixed Maturity,Closed-end,4.07,21 ( 79 ) ,7.4,15 ( 78 ) ,7.52,19 ( 37 ) ,5.7,7 ( 12 ) ,-,-
Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 Days) - Direct Plan,Debt: Fixed Maturity,Closed-end,4.1,27 ( 79 ) ,7.49,20 ( 78 ) ,7.69,15 ( 37 ) ,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 Days) - Regular Plan,Debt: Fixed Maturity,Closed-end,4.05,23 ( 79 ) ,7.4,16 ( 78 ) ,7.59,11 ( 37 ) ,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series TQ (1879 Days) - Direct Plan,Debt: Fixed Maturity,Closed-end,4,39 ( 79 ) ,7.46,23 ( 78 ) ,7.64,21 ( 37 ) ,-,-,-,-
Aditya Birla Sun Life Fixed Term Plan - Series TQ (1879 Days) - Regular Plan,Debt: Fixed Maturity,Closed-end,3.94,39 ( 79 ) ,7.46,13 ( 78 ) ,7.58,13 ( 37 ) ,-,-,-,-
