Daily NAV Change as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3
S&P BSE India Manufacturing Index,1061.21,1057.23,0.38
S&P BSE India Manufacturing Total Return Index,1429.23,1423.86,0.38
,,,
Special Opportunities,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan,23.19,23.03,0.69
Axis Innovation Fund - Regular Plan,17.9,17.81,0.51
Franklin India Opportunities Fund,245.7945,245.0851,0.29
ICICI Prudential India Opportunities Fund,32.66,32.43,0.71
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
,,,
Pharma & Healthcare Fund,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Pharma & Healthcare Fund - Regular Plan,27.31,27.15,0.59
DSP Healthcare Fund - Regular Plan,33.966,33.846,0.35
ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund,32.61,32.35,0.8
Mirae Asset Healthcare Fund - Regular Plan,32.966,32.639,1
Nippon India Pharma Fund,448.8478,446.8356,0.45
SBI Healthcare Opportunities Fund,359.7832,356.8291,0.83
Tata India Pharma & Healthcare Fund - Regular Plan,26.5238,26.304,0.84
UTI Healthcare Fund - Regular Plan,237.9332,236.4871,0.61
S&P BSE Healthcare Total Return Index,43032.06,42722.03,0.73
,,,
Infrastructure Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Infrastructure Fund - Regular Plan,99.45,98.68,0.78
Bandhan Infrastructure Fund - Regular Plan,55.735,55.179,1.01
DSP India T.I.G.E.R. Fund - Regular Plan,337.159,334.352,0.84
Franklin Build India Fund,144.3837,143.9932,0.27
HDFC Infrastructure Fund,49.046,48.465,1.2
HSBC Infrastructure Fund,51.4631,51.0172,0.87
ICICI Prudential Infrastructure Fund,192.18,190.95,0.64
Invesco India Infrastructure Fund,68.38,67.58,1.18
Kotak Infrastructure and Economic Reform Fund - Standard Plan,71.666,71.06,0.85
Nippon India Power & Infra Fund,374.3519,372.5614,0.48
SBI Infrastructure Fund,53.0359,52.895,0.27
Sundaram Infrastructure Advantage Fund - Regular Plan,97.8142,96.9506,0.89
Tata Infrastructure Fund - Regular Plan,201.803,199.6329,1.09
UTI Infrastructure Fund - Regular Plan,147.8924,147.2628,0.43
NIFTY Infrastructure Total Return Index,11829.07,11824.46,0.04
NIFTY Infrastructure Index,9141.65,9138.1,0.04
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE 500 Total Return Index,45722.94,45374.55,0.77
,,,
Equity Savings,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,22.54,22.5,0.18
Bandhan Equity Savings Fund - Direct Plan,32.364,32.307,0.18
Franklin India Equity Savings Fund - Direct Plan,16.6752,16.6494,0.15
ICICI Prudential Equity Savings Fund - Direct Plan,22.26,22.23,0.13
Nippon India Equity Savings Fund - Direct Plan,16.6337,16.5985,0.21
PGIM India Equity Savings Fund - Direct Plan,52.1531,52.0744,0.15
CRISIL Short-Term Bond Total Return Index,-,4674.86,-
NIFTY Equity Savings Total Return Index,5869.63,5854.24,0.26
,,,
Resurgent Series,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
S&P BSE 200 Total Return Index,14282.65,14177.17,0.74
S&P BSE 200 Index,11238.43,11155.43,0.74
NIFTY 200 Index,13737.6,13635.3,0.75
NIFTY 200 Total Return Index,18068.67,17934.12,0.75
,,,
Conservative Hybrid,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,68.1184,67.9764,0.21
Axis Regular Saver Fund - Direct Plan,32.4682,32.4046,0.2
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,50.6219,50.5052,0.23
Canara Robeco Conservative Hybrid Fund - Direct Plan,102.4209,102.2861,0.13
Franklin India Debt Hybrid Fund - Direct Plan,92.0004,91.8673,0.14
HDFC Hybrid Debt Fund - Direct Plan,81.7258,81.519,0.25
ICICI Prudential Regular Savings Fund - Direct Plan,75.9948,75.8372,0.21
Kotak Debt Hybrid Fund - Direct Plan,62.6587,62.4983,0.26
Nippon India Hybrid Bond Fund - Direct Plan,58.3941,58.3313,0.11
Parag Parikh Conservative Hybrid Fund - Direct Plan,13.9296,13.9052,0.18
SBI Conservative Hybrid Fund - Direct Plan,74.0723,73.9036,0.23
UTI Conservative Hybrid Fund - Direct Plan,69.3135,69.1316,0.26
CRISIL Hybrid 85+15 Conservative Index,-,6668.46,-
,,,
Pure International Plan,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life International Equity Fund - Regular Plan,32.6332,32.3985,0.72
Kotak Global Emerging Market - Regular Plan,22.636,22.335,1.35
PGIM India Emerging Markets Equity Fund,14.68,14.45,1.59
Sundaram Global Brand Fund,30.7561,30.7561,0
NIFTY 50 Index,24286.5,24123.85,0.67
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
S&P Global 1200 Total Return Index,-,-,-
,,,
Arbitrage Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Arbitrage Fund - Regular Plan,24.8563,24.8453,0.04
Axis Arbitrage Fund - Regular Plan,17.5063,17.4987,0.04
Bandhan Arbitrage Fund - Regular Plan,30.3792,30.3693,0.03
DSP Arbitrage Fund - Regular Plan,13.999,13.994,0.04
Edelweiss Arbitrage Fund - Regular Plan,18.1392,18.133,0.03
HDFC Arbitrage Fund - Wholesale Plan,28.668,28.658,0.03
HSBC Arbitrage Fund - Regular Plan,17.8047,17.7997,0.03
ICICI Prudential Equity Arbitrage Fund,32.0752,32.0649,0.03
Invesco India Arbitrage Fund,29.8506,29.8466,0.01
Kotak Equity Arbitrage Fund - Regular Plan,35.041,35.0326,0.02
Nippon India Arbitrage Fund,24.8878,24.8797,0.03
SBI Arbitrage Opportunities Fund,31.6222,31.6135,0.03
Tata Arbitrage Fund - Regular Plan,13.444,13.4419,0.02
UTI Arbitrage Fund - Regular Plan,32.7466,32.7334,0.04
NIFTY 50 Arbitrage Total Return Index ,2347.16,2346.02,0.05
,,,
Banking ETF,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Nifty Bank ETF,53.7922,52.8639,1.76
DSP Nifty Bank ETF,53.7303,52.8014,1.76
HDFC NIFTY Bank ETF,54.025,53.0922,1.76
ICICI Prudential Nifty Bank ETF,53.8638,52.9339,1.76
Kotak Nifty Bank ETF,544.7266,535.3227,1.76
Nippon India ETF Nifty Bank BeES,543.8056,534.4192,1.76
SBI Nifty Bank ETF,539.2354,529.9262,1.76
UTI Nifty Bank ETF,54.2411,53.3046,1.76
NIFTY Bank Total Return Index,73270.32,71999.01,1.77
,,,
Index Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Nifty 50 ETF,27.782,27.5966,0.67
Aditya Birla Sun Life Nifty 50 Index Fund - Regular Plan,243.7141,242.09,0.67
Bandhan Nifty 50 Index Fund - Regular Plan,51.9826,51.6366,0.67
Franklin India NSE Nifty 50 Index,194.2569,192.9697,0.67
HDFC Index Fund Nifty 50 Plan,228.191,226.668,0.67
ICICI Prudential Nifty 50 ETF,268.6215,266.8276,0.67
ICICI Prudential Nifty 50 Index Fund,242.0953,240.4831,0.67
Kotak Nifty 50 ETF,263.0121,261.2559,0.67
Nippon India ETF Nifty 50 BeES,270.061,268.2578,0.67
Nippon India Index Fund - Nifty 50 Plan,40.8534,40.5812,0.67
SBI Nifty Index Fund,212.8289,211.407,0.67
UTI Nifty 50 Index Fund - Regular Plan,165.1442,164.0435,0.67
NIFTY 50 Index,24286.5,24123.85,0.67
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
,,,
FoFs-Moderate Plans,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.3595,0.49
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,38.0746,37.9428,0.35
HSBC Managed Solutions India - Moderate - Regular Plan,33.7652,33.6091,0.46
ICICI Prudential Asset Allocator (FOF) Fund,-,109.4391,-
NIFTY 50 Index,24286.5,24123.85,0.67
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
CRISIL Hybrid 50+50 Moderate Index,-,14602.22,-
,,,
Commodity Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5886,-
DSP World Energy Fund - Regular Plan,17.8184,17.5384,1.6
DSP World Gold FoF - Regular Plan,19.3847,18.947,2.31
S&P Global Agribusiness Total Return Index,-,-,-
S&P Global 1200 Total Return Index,-,-,-
,,,
Dynamic Allocation Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,32.5627,32.3742,0.58
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,110.84,110.4,0.4
Axis Balanced Advantage Fund - Direct Plan,21.61,21.51,0.46
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,40.5032,40.3623,0.35
Bandhan Balanced Advantage Fund - Direct Plan,26.15,26.054,0.37
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,24.6947,24.5886,0.43
DSP Dynamic Asset Allocation Fund - Direct Plan,29.044,28.948,0.33
Edelweiss Balanced Advantage Fund - Direct Plan,55.21,54.94,0.49
Franklin India Balanced Advantage Fund - Direct Plan,14.0368,14.0081,0.2
Franklin India Dynamic Asset Allocation Fund of Funds - Direct Plan,173.6726,173.2875,0.22
HDFC Asset Allocator FoF - Direct Plan,17.25,17.17,0.47
HDFC Balanced Advantage Fund - Direct Plan,534.765,531.409,0.63
HSBC Balanced Advantage Fund - Direct Plan,47.0169,46.916,0.22
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,-,119.6147,-
ICICI Prudential Balanced Advantage Fund - Direct Plan,75.01,74.82,0.25
Kotak Balanced Advantage Fund - Direct Plan,20.768,20.673,0.46
Kotak Multi Asset Allocator FoF -  Dynamic - Direct Plan,232.527,231.057,0.64
LIC MF Balanced Advantage Fund - Direct Plan,13.5602,13.4916,0.51
Mirae Asset Balanced Advantage Fund - Direct Plan,13.64,13.577,0.46
Nippon India Asset Allocator FoF - Direct Plan,20.138,20.0123,0.63
Nippon India Balanced Advantage Fund - Direct Plan,187.2922,186.3295,0.52
NJ Balanced Advantage Fund - Direct Plan,14.22,14.14,0.57
PGIM India Balanced Advantage Fund - Direct Plan,15.56,15.49,0.45
Quantum Multi Asset Fund of Funds - Direct Plan,31.4457,31.3338,0.36
SBI Balanced Advantage Fund - Direct Plan,14.9145,14.8891,0.17
Tata Balanced Advantage Fund - Direct Plan,21.7268,21.6459,0.37
Union Balanced Advantage Fund - Direct Plan,20.79,20.69,0.48
CRISIL Hybrid 50+50 Moderate Index,-,14602.22,-
,,,
Asset Allocator Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Asset Allocator FoF - Regular Plan,62.3491,61.9899,0.58
Bandhan Asset Allocation Fund - Aggressive Plan - Regular Plan,43.38,43.188,0.44
Bandhan Asset Allocation Fund - Conservative Plan - Regular Plan,31.3351,31.281,0.17
Bandhan Asset Allocation Fund - Moderate Plan - Regular Plan,38.0746,37.9428,0.35
Franklin India Dynamic Asset Allocation Fund of Funds,155.1003,154.7603,0.22
Franklin India Multi Asset Solution Fund of Funds,18.5547,18.5075,0.26
HDFC Asset Allocator FoF - Regular Plan,16.61,16.53,0.48
ICICI Prudential Asset Allocator (FOF) Fund,-,109.4391,-
Kotak Multi Asset Allocator FoF -  Dynamic Regular Plan,217.595,216.223,0.63
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Regular Plan,16.1042,16.0043,0.62
Motilal Oswal Asset Allocation Passive FoF - Conservative - Regular Plan,14.3161,14.2408,0.53
Nippon India Asset Allocator FoF - Regular Plan,19.4529,19.332,0.63
CRISIL Hybrid 50+50 Moderate Index,-,14602.22,-
,,,
Financial Planning Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Regular Plan,50.7867,50.4611,0.65
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Regular Plan,31.7618,31.6509,0.35
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Regular Plan,39.5529,39.3595,0.49
,,,
International Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Global Emerging Opportunities Fund - Regular Plan,-,24.5886,-
Aditya Birla Sun Life Global Excellence Equity FoF - Retail Plan,-,31.8723,-
DSP World Energy Fund - Regular Plan,17.8184,17.5384,1.6
DSP World Mining Fund - Regular Plan,16.4476,16.0811,2.28
Edelweiss Emerging Markets Opportunities Equity Offshore Fund - Regular Plan,15.3958,15.2635,0.87
Franklin India Feeder - Templeton European Opportunities Fund,10.4581,10.2799,1.73
Franklin India Feeder Franklin US Opportunities Fund,68.284,67.8825,0.59
HSBC Brazil Fund,6.6041,6.4326,2.67
HSBC Global Emerging Markets Fund,18.8599,18.6625,1.06
Kotak Global Emerging Market - Regular Plan,22.636,22.335,1.35
PGIM India Emerging Markets Equity Fund,14.68,14.45,1.59
PGIM India Global Equity Opportunities Fund,42.6,42.23,0.88
S&P Global 1200 Total Return Index,-,-,-
MSCI All Country World Index,-,-,-
Nasdaq 100 Total Return Index,-,-,-
Nasdaq 100 Index,-,-,-
,,,
Gold FoF,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Gold Fund - Regular Plan,21.425,21.3156,0.51
Axis Gold Fund,21.6424,21.536,0.49
Edelweiss Gold and Silver ETF FoF - Regular Plan,14.665,14.517,1.02
HDFC Gold Fund,22.0948,22.0109,0.38
ICICI Prudential Regular Gold Savings Fund (FOF),22.8999,22.7222,0.78
Invesco India Gold ETF FoF,21.0386,20.8777,0.77
Kotak Gold Fund - Regular Plan,28.4795,28.2909,0.67
LIC MF Gold ETF FoF,19.1754,19.1072,0.36
Motilal Oswal Gold and Silver ETFs FoF - Regular Plan,14.2389,14.0869,1.08
Nippon India Gold Savings Fund,28.3042,28.1423,0.58
Quantum Gold Savings - Regular Plan,27.8678,27.7257,0.51
SBI Gold Fund,21.6036,21.511,0.43
UTI Gold ETF FoF - Regular Plan,14.0371,13.9238,0.81
Domestic Price of Gold,-,7144.7,-
,,,
Liquid Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Liquid Fund - Direct Plan,397.1499,397.0663,0.02
Axis Liquid Fund - Direct Plan,2734.6507,2734.1131,0.02
Bandhan Liquid Fund - Direct Plan,2972.4505,2971.8711,0.02
Baroda BNP Paribas Liquid Fund - Direct Plan,2837.2993,2836.742,0.02
DSP Liquidity Fund - Direct Plan,3516.795,3516.0505,0.02
Edelweiss Liquid Fund - Direct Plan,3178.3584,3177.6992,0.02
HDFC Liquid Fund - Direct Plan,4833.261,4832.2179,0.02
HSBC Liquid Fund - Direct Plan,2451.5278,2451.0196,0.02
ICICI Prudential Liquid Fund - Direct Plan,364.2259,364.1519,0.02
Invesco India Liquid Fund - Direct Plan,3377.4099,3376.7122,0.02
Kotak Liquid - Direct Plan,4971.4341,4970.4078,0.02
LIC MF Liquid Fund - Direct Plan,4468.6722,4467.8012,0.02
Mirae Asset Liquid Fund - Direct Plan,2598.7002,2598.1573,0.02
Nippon India Liquid Fund - Direct Plan,6021.4701,6020.2566,0.02
SBI Liquid Fund - Direct Plan,3850.3781,3849.5638,0.02
Tata Liquid Fund - Direct Plan,3882.3551,3881.5475,0.02
UTI Liquid Fund - Direct Plan,4033.163,4032.335,0.02
CRISIL Liquid Fund Total Return Index,-,4100.76,-
CRISIL Liquid Fund BI Index,-,4075.48,-
,,,
Corporate Bond Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,105.2671,105.2249,0.04
Axis Corporate Debt Fund - Direct Plan,16.4811,16.4752,0.04
Bandhan Corporate Bond Fund - Direct Plan,18.1477,18.1391,0.05
HDFC Corporate Bond Fund - Direct Plan,30.478,30.4723,0.02
HSBC Corporate Bond Fund - Direct Plan,71.2215,71.2069,0.02
ICICI Prudential Corporate Bond Fund - Direct Plan,28.6975,28.6873,0.04
Invesco India Corporate Bond Fund - Direct Plan,3115.7961,3114.9851,0.03
Kotak Corporate Bond Fund - Standard Plan - Direct Plan,3602.3744,3601.4839,0.02
SBI Corporate Bond Fund - Direct Plan,14.6102,14.6055,0.03
UTI Corporate Bond Fund - Direct Plan,15.3439,15.3396,0.03
NIFTY Corporate Bond Total Return Index,5800.04,5799.18,0.01
NIFTY Corporate Bond Index B-II,5780.14,5778.61,0.03
,,,
Short Duration,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Short Term Fund - Direct Plan,47.101,47.0832,0.04
Axis Short Term Fund - Direct Plan,30.8035,30.791,0.04
Bandhan Bond Fund Short Term Plan - Direct Plan,56.0084,55.9743,0.06
DSP Short Term Fund - Direct Plan,46.3694,46.3526,0.04
HDFC Short Term Debt Fund - Direct Plan,30.2756,30.2674,0.03
HSBC Short Duration Fund - Direct Plan,25.6995,25.6884,0.04
ICICI Prudential Short Term Fund - Direct Plan,60.0977,60.0723,0.04
Kotak Bond - Short Term Fund - Direct Plan,52.5163,52.501,0.03
Nippon India Short Term Fund - Direct Plan,52.365,52.3516,0.03
SBI Short Term Debt Fund - Direct Plan,31.2526,31.2418,0.03
Tata Short Term Bond Fund - Direct Plan,48.6391,48.6275,0.02
UTI Short Duration Fund - Direct Plan,30.9651,30.9637,0
CRISIL Short-Term Bond Total Return Index,-,4674.86,-
NIFTY Short Duration Debt Index B-II,5440.14,5438.77,0.03
,,,
Dynamic Bond Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
360 ONE Dynamic Bond Fund - Direct Plan,21.6261,21.6142,0.06
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,45.2906,45.2568,0.07
Axis Dynamic Bond Fund - Direct Plan,29.7615,29.7468,0.05
Bandhan Dynamic Bond Fund - Direct Plan,35.1914,35.1589,0.09
DSP Strategic Bond Fund - Direct Plan,3315.5191,3312.8209,0.08
HDFC Dynamic Debt Fund - Direct Plan,90.9873,90.9208,0.07
ICICI Prudential All Seasons Bond Fund - Direct Plan,36.383,36.3643,0.05
Kotak Dynamic Bond Fund - Direct Plan,37.4887,37.4584,0.08
Mirae Asset Dynamic Bond Fund - Direct Plan,16.2561,16.2504,0.04
Nippon India Dynamic Bond Fund - Direct Plan,36.3906,36.4306,-0.11
SBI Dynamic Bond Fund - Direct Plan,35.8895,35.8634,0.07
UTI Dynamic Bond Fund - Direct Plan,30.7381,30.7193,0.06
NIFTY Composite Debt Total Return Index,5499.99,5498.11,0.03
NIFTY Composite Debt Index B-III,5860.97,5859.19,0.03
,,,
Credit Risk Fund,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,20.8438,20.8343,0.05
Axis Credit Risk Fund - Direct Plan,21.845,21.8378,0.03
Bandhan Credit Risk Fund - Direct Plan,16.4016,16.3949,0.04
Baroda BNP Paribas Credit Risk Fund Direct,22.2712,22.263,0.04
DSP Credit Risk Fund - Direct Plan,43.7939,43.7774,0.04
HDFC Credit Risk Debt Fund - Direct Plan,23.7842,23.7759,0.03
HSBC Credit Risk Fund - Direct Plan,28.6641,28.6537,0.04
ICICI Prudential Credit Risk Fund - Direct Plan,31.8655,31.8552,0.03
Kotak Credit Risk Fund - Direct Plan,30.482,30.4634,0.06
Nippon India Credit Risk Fund - Direct Plan,34.9687,34.9582,0.03
SBI Credit Risk Fund - Direct Plan,45.1275,45.1143,0.03
UTI Credit Risk Fund - Direct Plan,17.6637,17.6588,0.03
NIFTY Credit Risk Bond Total Return Index,6914.83,6912.84,0.03
NIFTY Credit Risk Bond Index C-III,7352.84,7350.5,0.03
,,,
Medium to Long Duration,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Income Fund - Direct Plan,124.6089,124.5312,0.06
Bandhan Bond Fund Income Plan - Direct Plan,65.9807,65.93,0.08
HDFC Income Fund - Direct Plan,59.0611,59.0285,0.06
ICICI Prudential Bond Fund - Direct Plan,38.8424,38.8195,0.06
Kotak Bond Fund - Direct Plan,79.12,79.0694,0.06
Nippon India Income Fund - Direct Plan,92.1839,92.1118,0.08
UTI Medium to Long Duration Fund - Direct Plan,73.3445,73.3127,0.04
CRISIL Composite Bond Total Return Index,-,4589.41,-
CRISIL Medium to Long Duration Fund AIII Index,-,13544.19,-
,,,
Gilt Funds,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Government Securities Fund - Direct Plan,80.666,80.6039,0.08
Axis Gilt Fund - Direct Plan,24.9692,24.9503,0.08
Bandhan Government Securities Fund - Investment Plan - Direct Plan,35.4908,35.4577,0.09
Baroda BNP Paribas Gilt Fund - Direct Plan,42.5973,42.5715,0.06
DSP Gilt Fund - Direct Plan,94.2138,94.1314,0.09
HDFC Gilt Fund - Direct Plan,53.5026,53.4639,0.07
HSBC Gilt Fund - Direct Plan,69.9625,69.904,0.08
ICICI Prudential Gilt Fund - Direct Plan,101.0769,101.0221,0.05
Kotak Gilt Investment - Direct Plan,101.1357,101.0447,0.09
Nippon India Gilt Securities Fund - Direct Plan,39.5566,39.5238,0.08
SBI Magnum Gilt Fund - Direct Plan,64.4656,64.4114,0.08
Tata Gilt Securities Fund - Direct Plan,79.9189,79.8577,0.08
UTI Gilt Fund - Direct Plan,59.9591,59.916,0.07
NIFTY All Duration G-Sec Total Return Index,4928.32,4924.72,0.07
,,,
Money Manager,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Money Manager Fund - Direct Plan,347.5007,347.3964,0.03
Axis Money Market Fund - Direct Plan,1337.8335,1337.4767,0.03
Bandhan Money Manager Fund - Direct Plan,40.4479,40.4362,0.03
DSP Savings Fund - Direct Plan,50.4318,50.4181,0.03
HDFC Money Market Fund - Direct Plan,5403.6893,5402.0965,0.03
ICICI Prudential Money Market Fund - Direct Plan,356.0562,355.9462,0.03
Invesco India Money Market Fund - Direct Plan,2924.8964,2924.1079,0.03
Kotak Money Market Fund - Direct Plan,4203.0922,4201.8725,0.03
Nippon India Money Market Fund - Direct Plan,3896.5015,3895.3407,0.03
SBI Savings Fund - Direct Plan,41.2379,41.2266,0.03
Tata Money Market Fund - Direct Plan,4454.1698,4452.8415,0.03
UTI Money Market Fund Institutional - Direct Plan,2893.035,2892.224,0.03
NIFTY Money Market Total Return Index,4803.24,4802,0.03
NIFTY Money Market Index B-I,4824.73,4823.45,0.03
,,,
Low Duration,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Low Duration Fund - Direct Plan,672.2429,672.052,0.03
Axis Treasury Advantage Fund - Direct Plan,2996.3979,2995.5819,0.03
Bandhan Low Duration Fund - Direct Plan,36.6282,36.6184,0.03
DSP Low Duration Fund - Direct Plan,18.9697,18.9646,0.03
HDFC Low Duration Fund - Direct Plan,57.8459,57.8306,0.03
ICICI Prudential Savings Fund - Direct Plan,509.5528,509.4019,0.03
Kotak Low Duration Fund - Standard Plan - Direct Plan,3363.6388,3362.6257,0.03
Nippon India Low Duration Fund - Direct Plan,3665.667,3664.7615,0.02
SBI Magnum Low Duration Fund - Direct Plan,3362.3506,3361.5848,0.02
Tata Treasury Advantage Fund - Direct Plan,3743.0818,3742.0672,0.03
UTI Low Duration Fund - Direct Plan,3334.3993,3333.4686,0.03
CRISIL Low Duration Fund BI Index,-,7483.53,-
NIFTY Low Duration Debt Index,5179.34,5177.9,0.03
,,,
FoFs - Conservative Plans,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
ICICI Prudential Debt Management Fund (FOF),41.3237,41.3058,0.04
ICICI Prudential Income Optimizer Fund (FOF),-,57.5667,-
NIFTY 50 Index,24286.5,24123.85,0.67
NIFTY 50 Total Return,35947.53,35706.77,0.67
S&P BSE Sensex Total Return Index,123464.61,122622.82,0.69
CRISIL Hybrid 65+35 Conservative Index,-,-,-
,,,
Dynamic Bond Funds (FOF),2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Active Debt Multi-Manager FoF Scheme - Direct Plan,36.3832,36.3634,0.05
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,45.2906,45.2568,0.07
Axis All Seasons Debt FoF - Direct Plan,13.4193,13.4103,0.07
Bandhan All Seasons Bond Fund - Direct Plan,42.2803,42.2567,0.06
Bandhan Dynamic Bond Fund - Direct Plan,35.1914,35.1589,0.09
DSP Strategic Bond Fund - Direct Plan,3315.5191,3312.8209,0.08
HDFC Dynamic Debt Fund - Direct Plan,90.9873,90.9208,0.07
ICICI Prudential All Seasons Bond Fund - Direct Plan,36.383,36.3643,0.05
ICICI Prudential Debt Management Fund (FOF) - Direct Plan,37.7863,37.7696,0.04
Kotak Dynamic Bond Fund - Direct Plan,37.4887,37.4584,0.08
Nippon India Dynamic Bond Fund - Direct Plan,36.3906,36.4306,-0.11
SBI Dynamic Bond Fund - Direct Plan,35.8895,35.8634,0.07
UTI Dynamic Bond Fund - Direct Plan,30.7381,30.7193,0.06
NIFTY Composite Debt Total Return Index,5499.99,5498.11,0.03
CRISIL Composite Bond Total Return Index,-,4589.41,-
,,,
Banking & PSU,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,349.3755,349.2456,0.04
Axis Banking & PSU Debt Fund - Direct Plan,2497.111,2496.3911,0.03
Bandhan Banking & PSU Debt Fund - Direct Plan,23.3254,23.3155,0.04
DSP Banking & PSU Debt Fund - Direct Plan,22.9077,22.8957,0.05
HDFC Banking and PSU Debt Fund - Direct Plan,21.9818,21.9753,0.03
HSBC Banking and PSU Debt Fund - Direct Plan,23.5186,23.5118,0.03
ICICI Prudential Banking & PSU Debt Fund - Direct Plan,31.3761,31.3638,0.04
Kotak Banking and PSU Debt Fund - Direct Plan,62.4738,62.4662,0.01
LIC MF Banking & PSU Fund - Direct Plan,34.3758,34.3692,0.02
Nippon India Banking & PSU Debt Fund - Direct Plan,19.756,19.7523,0.02
SBI Banking and PSU Fund - Direct Plan,3037.977,3036.7341,0.04
NIFTY Financial Services Index,23923.75,23500.85,1.8
NIFTY Financial Services Total Return Index,29965.53,29435.83,1.8
NIFTY Bank,53089.25,52168.1,1.77
NIFTY Bank Total Return Index,73270.32,71999.01,1.77
NIFTY Banking and PSU Debt Total Return Index,5306.69,5305.26,0.03
,,,
Medium Duration,2024-07-03 00:00:00,2024-07-02 00:00:00,%Chg
Aditya Birla Sun Life Medium Term Plan - Direct Plan,37.9156,37.8898,0.07
Axis Strategic Bond Fund - Direct Plan,28.0222,28.0105,0.04
Bandhan Bond Fund Medium Term Plan - Direct Plan,45.6015,45.5736,0.06
DSP Bond Fund - Direct Plan,79.3651,79.3276,0.05
HDFC Medium Term Debt Fund - Direct Plan,55.8641,55.8395,0.04
HSBC Medium Duration Fund - Direct Plan,20.3367,20.3288,0.04
ICICI Prudential Medium Term Bond Fund - Direct Plan,44.8291,44.8084,0.05
Kotak Medium Term Fund - Direct Plan,22.9045,22.8879,0.07
