Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Returns(%),Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Scheme Name,Category,Issue Open,AAUM (Rs Cr),YTD,1 Day,7 Days,14 Days,30 Days,60 Days,90 Days,180 Days,270 Days
Open-ended,,,,,,,,,,,,
Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF FoF - Regular Plan,Equity: Thematic,2024-02-15 00:00:00,113.52,-,1.04,2.73,2.99,10.38,10.35,15.11,-,-
Motilal Oswal Developed Market Ex US ETFs FoF - Regular Plan,Equity: International,2023-09-18 00:00:00,34.97,6.03,1.18,1.64,1.37,-0.55,2.03,1.33,7.77,19.82
Motilal Oswal Large Cap Fund - Regular Plan,Equity: Large Cap,2024-01-17 00:00:00,881.01,-,0.64,1.93,3.08,7.89,13.33,15.77,-,-
Motilal Oswal Multi Cap Fund - Regular Plan,Equity: Multi Cap,2024-05-28 00:00:00,-,-,0.78,2.52,-,-,-,-,-,-
Motilal Oswal Nifty 500 ETF,Equity: Flexi Cap,2023-09-27 00:00:00,34.56,18.05,0.76,1.85,2.85,4.94,9.34,11.21,18.43,-
Motilal Oswal Nifty India Defence Index Fund - Regular Plan,Equity: Thematic,2024-06-13 00:00:00,-,-,-,-,-,-,-,-,-,-
Motilal Oswal Nifty Realty ETF,Equity: Thematic,2024-03-13 00:00:00,20.38,-,0.33,1.28,-0.36,3.07,15.62,20.29,-,-
Motilal Oswal Nifty Smallcap 250 ETF,Equity: Small Cap,2024-03-13 00:00:00,9.7,-,0.9,2.34,3.27,9.71,10.8,16.13,-,-
Motilal Oswal Quant Fund - Regular Plan,Equity: Thematic,2024-06-03 00:00:00,-,-,0.98,2.79,-,-,-,-,-,-
Motilal Oswal Small Cap Fund - Regular Plan,Equity: Small Cap,2023-12-05 00:00:00,1748.48,23.56,0.73,3.15,4.08,9.59,10.43,15.14,23.67,-
Navi BSE Sensex Index Fund - Regular Plan,Equity: Large Cap,2023-08-21 00:00:00,9.39,10.92,0.67,1.65,3.51,4.73,8.68,8.59,12.3,22.13
