Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Digital India Fund - Regular Plan,4294.58,3.31,3,5.17,4,11.94,4,11.67,4,6.88,5,8.1,5,20.07,5,19.96,5,30.38,5,22.77,3,13.19,4,25.92,2,24.63,3,19.19,1,20.37,2,18.01,4,17.55,4,12.18,-,5.67,5
Franklin India Technology Fund,1435.18,2.84,5,4.93,5,12.24,3,8.61,5,9.05,2,20.3,1,36.59,1,36.98,1,54.05,1,34.61,1,17.68,1,25.58,3,23.13,5,18.02,3,19.03,4,19.42,3,17.56,3,19.49,-,18.1,1
ICICI Prudential Technology Fund,11751.34,3.66,2,5.71,2,12.55,2,12.25,3,8.69,3,12.86,4,23.9,3,23.66,3,34.8,3,20.38,5,12.92,5,26.36,1,24.79,2,18.88,2,21,1,22.23,1,19.99,1,12.8,-,10.47,4
SBI Technology Opportunities Fund,3496.62,3.15,4,5.65,3,11.48,5,12.4,1,9.22,1,13.5,3,22.76,4,22.16,4,30.76,4,22.37,4,14.71,3,24.05,5,23.44,4,17.78,4,19.63,3,19.74,2,18.09,2,15.65,-,11.2,3
Tata Digital India Fund - Regular Plan,9223.32,4.46,1,5.85,1,14,1,12.27,2,8.67,4,14.95,2,28.64,2,28.39,2,38.09,2,23.52,2,14.85,2,25.13,4,25.42,1,-,-,-,-,-,-,-,-,19.73,-,12.33,2
