Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,20 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,535.67,0.49,2,0.76,3,1.26,5,2.59,5,3.39,4,5.82,4,9.21,4,9.15,4,11.75,4,12.7,2,7.87,5,9.47,2,8.13,3,-,-,-,-,-,-,-,-,8.83,-,5.82,4
Bandhan Equity Savings Fund - Direct Plan,118.67,0.52,1,0.89,2,1.58,3,3,2,3.4,3,5.97,3,9.32,3,9.32,3,11.88,3,10.88,4,8.37,4,8.64,4,7.96,4,7.78,2,-,-,-,-,-,-,7.84,-,5.95,3
Franklin India Equity Savings Fund - Direct Plan,584.73,0.41,4,0.68,6,1.25,6,2.81,4,3.41,2,6.15,2,9.71,2,9.72,2,12.54,2,12.67,3,9.29,2,9.68,1,-,-,-,-,-,-,-,-,-,-,9.13,-,6.13,2
ICICI Prudential Equity Savings Fund - Direct Plan,10278.86,0.32,6,0.68,5,1.92,1,2.87,3,2.87,6,5.05,6,7.95,6,7.9,6,11.36,5,10.37,5,9.04,3,8.69,3,8.51,1,-,-,-,-,-,-,-,-,8.71,-,5.2,6
Nippon India Equity Savings Fund - Direct Plan,447.8,0.43,3,0.91,1,1.55,4,3.08,1,4.04,1,7.3,1,11.34,1,11.25,1,13.39,1,13.36,1,9.38,1,4.69,6,4.54,5,-,-,-,-,-,-,-,-,5.75,-,7.35,1
PGIM India Equity Savings Fund - Direct Plan,92.15,0.4,5,0.68,4,1.67,2,2.59,6,3.04,5,5.4,5,8.54,5,8.53,5,10.14,6,9.45,6,7.63,6,8.51,5,8.26,2,9.5,1,-,-,-,-,-,-,9.23,-,5.36,5
