Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
ICICI Prudential Thematic Advantage Fund (FOF) - Direct #,1555.11,1.14,32,1.83,32,7.38,8,7.04,31,8.35,33,14.14,34,25.8,33,25.8,33,33.08,35,29.58,32,20.65,18,23.22,9,17.37,8,-,-,-,-,-,-,16.67,-,14.57,33
Invesco India Contra Fund - Direct Plan,16189.14,1.56,22,2.54,21,4.91,27,10.71,16,14.61,11,24.76,13,39.36,16,39.37,16,49.44,15,36.9,19,23.35,14,22.66,11,19.55,4,19.13,2,-,-,-,-,20.29,-,24.05,14
Kotak India EQ Contra Fund - Direct Plan,3136.4,1.67,18,2.66,15,5.22,23,10.85,14,14.57,12,25.16,12,46.08,10,45.7,9,55.13,10,42.38,9,26.79,10,24.26,7,21.19,1,18.38,4,-,-,-,-,18.88,-,24.98,11
Kotak Manufacture in India Fund - Direct Plan,2098.36,2,12,2.55,19,6.18,15,13.75,3,17.47,4,32.1,6,46.36,9,45.46,10,57.36,8,40,14,-,-,-,-,-,-,-,-,-,-,-,-,33.55,-,31.33,6
Kotak Pioneer Fund - Direct Plan,2386.41,1.81,16,2.49,24,8.2,3,14.09,1,15.63,8,27.75,9,43,11,42.32,11,49.31,16,38.37,15,22.08,17,-,-,-,-,-,-,-,-,-,-,28.09,-,26.65,9
Mahindra Manulife Consumption Fund - Direct Plan,195.4,1.11,34,1.63,34,7.41,6,9.65,21,13.08,15,21.58,19,34.68,22,35.16,21,40,27,33.62,23,22.11,16,19.47,19,-,-,-,-,-,-,-,-,17.55,-,22.08,18
Mirae Asset Nifty India Manufacturing ETF FoF - Direct Plan,87.16,1.49,24,1.4,36,4.36,30,13.02,5,17.53,3,33.78,3,50.98,6,49.8,6,60.1,6,42.03,11,-,-,-,-,-,-,-,-,-,-,-,-,29.57,-,33.19,3
Nippon India Quant Fund - Direct Plan,64.87,2.18,7,2.6,16,2.69,36,6.41,35,8.94,31,19.21,27,38.58,18,38.13,18,45.2,23,38.24,16,24.26,13,22.11,14,17.52,7,14.44,11,-,-,-,-,15.19,-,19.21,27
Quant Quantamental Fund - Direct Plan,2408.6,1.45,26,1.52,35,0.96,38,6.37,36,9.07,30,28.53,7,52.68,3,52.18,3,63.85,3,53.23,2,35.24,1,-,-,-,-,-,-,-,-,-,-,35.37,-,29.26,7
SBI Contra Fund - Direct Plan,30520.42,1.33,30,2.31,29,4.78,28,7.82,30,11.02,25,20.7,23,37.02,19,36.98,19,49.29,18,41.47,12,30.68,6,29.53,1,20.92,3,18.67,3,-,-,-,-,18.29,-,20.79,22
SBI Equity Minimum Variance Fund - Direct Plan,190.17,1.9,14,2.17,31,5.34,22,7.03,32,6.13,38,11.34,37,26.01,32,25.12,35,30.4,36,27.15,36,18,25,18.99,20,-,-,-,-,-,-,-,-,18.38,-,11.17,36
SBI Magnum COMMA Fund - Direct Plan,595.31,2.99,2,2.51,22,1.06,37,3.98,38,8.18,35,14.57,33,32.14,28,32.39,27,46.25,22,32.06,27,16.7,28,23.1,10,17.09,9,15.36,9,-,-,-,-,15.08,-,14.72,32
Sundaram Services Fund - Direct Plan,3358.02,1.85,15,3.21,5,7.38,7,8.89,27,10.05,27,13.31,35,25.37,34,25.36,34,33.16,34,30.63,30,22.13,15,23.91,8,-,-,-,-,-,-,-,-,23.15,-,13.1,35
Tata Business Cycle Fund - Direct Plan,2311.19,1.6,20,2.41,27,3.77,33,9.38,23,11.7,23,22.89,17,38.82,17,38.98,17,54.51,11,43.66,7,-,-,-,-,-,-,-,-,-,-,-,-,27.59,-,22.87,17
Tata Ethical Fund - Direct Plan,2566.59,2.64,5,2.98,8,7.57,5,10.83,15,12.63,17,18.51,29,29.78,31,29.56,31,35.53,32,28.22,35,18.64,24,22.49,12,17.68,6,15.73,7,-,-,-,-,17.21,-,17.78,30
Tata Quant Fund - Direct Plan,57.81,2.04,10,3.56,2,8.36,2,10.95,11,14.72,10,15.01,32,25.06,36,24.37,36,34.9,33,31.77,28,15.55,29,-,-,-,-,-,-,-,-,-,-,12.19,-,14.37,34
Taurus Ethical Fund - Direct Plan,180.69,2.8,4,3.12,6,6.19,14,9.97,19,9.78,28,21.73,18,33.99,25,33.78,25,47.91,19,32.44,25,19.13,22,21.79,16,18.16,5,15.6,8,-,-,-,-,17.05,-,21.62,20
UTI Transportation and Logistics Fund - Direct Plan,3435.05,1.07,36,0.19,38,4.62,29,10.94,12,15.65,7,32.15,5,51.14,4,49.85,5,58.47,7,42.25,10,31.41,4,25.61,5,14.89,12,16.74,6,-,-,-,-,21.43,-,31.36,5
