Daily Competition Returns Comparison Report as of 03-Jul-24,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Scheme,AUM(Rs Cr),7 days,Rank,14 days,Rank,30 days,Rank,60 days,Rank,90 Days,Rank,180 Days,Rank,270 Days,Rank,29/09/23 to 03/07/24,Rank,1 Year,Rank,2 year,Rank,3 year,Rank,5 year,Rank,7 year,Rank,10 year,Rank,12 year,Rank,15 year,Rank,Inception,Rank,YTD,Rank
Aditya Birla Sun Life Silver ETF FoF - Direct Plan,140.04,2.17,7,0.63,3,-0.68,2,10.71,7,14.64,5,21.6,6,27.96,7,23.48,6,27.03,6,22.53,1,-,-,-,-,-,-,-,-,-,-,-,-,16.11,-,20.61,6
Axis Silver FoF - Direct Plan,41.85,2.18,6,0.55,7,-0.97,5,11.03,5,15.14,3,21.79,5,28.93,4,24.52,2,27.27,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.2,-,20.91,4
HDFC Silver ETF FoF - Direct Plan,89.47,2.45,2,0.57,6,-0.53,1,11.45,2,15.59,1,22.42,2,29.77,1,24.44,3,27.93,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.52,-,21.39,2
ICICI Prudential Silver ETF FoF - Direct Plan,655.17,2.32,4,0.64,2,-1.06,7,11.1,3,14.33,7,21.96,3,29.73,2,23.86,4,27.56,3,22.53,2,-,-,-,-,-,-,-,-,-,-,-,-,15.39,-,20.9,5
Kotak Silver ETF FoF - Direct Plan,23.31,2.34,3,0.59,4,-0.78,3,10.91,6,14.47,6,21.22,7,28.46,6,23.2,7,26.55,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.68,-,20.41,7
Nippon India Silver ETF FoF - Direct Plan,335.8,2.53,1,0.59,5,-0.79,4,11.09,4,14.69,4,21.93,4,28.79,5,23.64,5,27.29,4,22.42,3,-,-,-,-,-,-,-,-,-,-,-,-,15.4,-,20.93,3
UTI Silver ETF FoF - Direct Plan,27.6,2.31,5,0.69,1,-0.98,6,12.49,1,15.55,2,23.99,1,29.25,3,26.57,1,29.31,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.3,-,22.84,1
